likes,dislikes,comment_count,views
41884,1132,1665,1552282
8274,467,1815,138601
14938,657,596,682177
22669,2512,1633,3270284
44128,1225,1640,1708285
9784,605,2037,224498
4819,999,0,1582719
14938,657,596,682177
22669,2512,1633,3270284
44128,1225,1640,1708285
17824,832,677,967765
24934,2806,1820,3892492
45576,1263,1682,1814070
10260,656,2080,258800
17824,832,677,967765
24934,2806,1820,3892492
18877,886,698,1081923
26698,3039,1951,4344447
19308,915,711,1138590
5505,394,1318,95446
300707,3860,19134,10454654
7716,279,522,196152
7075,637,1614,177599
12967,3028,1179,1048201
1125,72,201,68110
442151,8137,25969,19336751
8275,566,820,608579
3400,124,363,59215
8626,329,568,253694
485946,10383,28082,22762717
13825,1231,1231,1762893
6462,641,642,174287
3862,155,416,83076
512740,11725,29277,25228211
16165,1567,1366,2431818
7772,867,699,275027
217,136,22,145583
56479,769,4288,417887
10741,419,570,1870433
17703,1802,1512,2970974
8282,965,716,318374
3433,172,157,189288
519,35,22,69047
331,254,48,257597
56480,769,4288,417887
10741,419,570,1870433
94081,1769,6993,875234
13758,613,707,3068078
18764,2012,1600,3387120
11989,225,182,1144873
94081,1769,6993,875234
13758,613,707,3068078
113618,2412,8182,1145178
14977,642,755,3146089
3900,281,389,260680
113618,2412,8182,1145178
14977,642,755,3146089
126998,2844,9085,1353699
1454,686,182,633304
15636,663,798,3196475
27674,918,2677,2108246
7544,681,678,565469
1216,44,140,44637
126998,2844,9085,1353699
1454,686,182,633304
2198,1144,241,1174876
134798,3043,9521,1489122
41742,1500,3896,3967200
2438,1296,284,1342532
954,326,70,195968
5335,73,175,173565
1789,846,131,562679
371,55,35,149420
5951,81,193,204709
1789,846,131,562679
2246,1142,170,769480
1331,154,112,391699
9412,791,649,429918
38117,616,3472,1063506
2246,1142,170,769480
2530,1319,193,942290
1714,195,138,490781
12233,978,830,663171
487,79,39,178222
2661,1408,198,1018369
255106,14678,16709,15590958
146764,2555,15411,4629057
44563,313,1999,414552
67805,4321,4021,3446953
44659,3722,1353,5224777
255107,14678,16709,15590958
146765,2555,15411,4629057
44563,313,1999,414552
226860,5039,22284,8478721
67846,559,2796,740666
258586,14949,17084,15971634
46835,3880,1397,5480015
68752,4366,4095,3529469
226861,5039,22284,8478721
67846,559,2796,740666
258586,14949,17084,15971634
267576,6918,25307,11249383
85507,783,3548,1065850
260718,15144,17229,16281667
267576,6918,25307,11249383
85507,783,3548,1065850
287119,8201,26349,13359243
97692,960,4256,1296976
287119,8201,26349,13359243
97692,960,4256,1296976
298541,9081,27080,15070716
103995,1060,4384,1437772
1638,121,100,78876
31285,673,3479,972834
16609,759,2784,1467239
3562,225,282,140331
3608,91,148,226192
323,86,34,169026
16609,759,2784,1467239
19465,1058,3289,1913758
959,614,168,512365
4937,329,378,234243
4016,114,163,291871
19465,1058,3289,1913758
959,614,168,512365
278350,2335,21968,9823890
1449,1026,279,778614
21647,1272,3562,2257263
43366,2082,3690,1334580
5460,377,413,269690
278351,2335,21968,9823890
1449,1026,279,778614
21647,1272,3562,2257263
344509,6816,29131,2919347
65417,632,1893,1463748
308244,2825,24162,11861050
1909,1384,338,1212870
22995,1400,3719,2523395
40377,2319,5687,1138318
344513,6816,29131,2919347
65417,632,1893,1463748
308245,2825,24162,11861050
445944,10306,35394,4733057
97225,767,2124,2406475
326373,3150,25394,13310689
2159,1602,355,1492185
53733,3371,7205,1844814
445947,10306,35394,4733057
97225,767,2124,2406475
175181,4182,14250,1682462
17654,517,3869,956872
131896,882,2183,2795931
7157,199,765,56873
340113,3364,26072,14365383
175183,4182,14250,1682462
17654,517,3869,957255
131896,882,2183,2795931
14642,453,2875,880003
14642,453,2875,880003
143471,978,2346,2944904
8185,256,839,78160
14642,453,2875,880003
14642,453,2875,880003
18742,747,3446,1513895
34559,1915,5723,521421
1095,93,52,123867
145472,1040,2426,3086548
18742,747,3446,1513895
34559,1915,5723,521421
20412,880,3678,1805166
1681,159,86,240228
40377,1728,4982,349858
502,54,35,77451
20412,880,3678,1805166
21525,978,3614,2020427
6015,250,721,129197
690,89,38,139594
103805,8338,7536,2314424
1233,142,49,206013
7665,348,870,191817
103805,8338,7536,2314424
127132,11337,9161,3775499
19533,2178,3188,822949
127132,11337,9161,3775499
19533,2178,3188,822949
136093,12416,9763,4344478
16438,1414,693,399308
23072,2621,3675,1142460
136093,12416,9763,4344478
16439,1414,693,399308
23072,2621,3675,1142460
28617,2848,1348,1182876
147382,13591,10135,5536977
25952,3050,4065,1470928
403,16,31,66140
9928,416,577,1089236
28617,2848,1348,1182876
147382,13591,10135,5536977
